Strategy	WB	WA	Duration
kRoundRobin	18736538192	3.48995	46017884
kMinOverlappingRatio	18137812641	3.37843	43974902
kOldestLargestSeqFirst	20201786839	3.76288	49437754
kOldestSmallestSeqFirst	19496396993	3.63149	48332161
kSelectLastSimilar	18618652989	3.46799	45535817
kRoundRobin	19506003626	3.63328	41887539
kMinOverlappingRatio	19118685416	3.56113	40803032
kOldestLargestSeqFirst	19572471080	3.64566	41592544
kOldestSmallestSeqFirst	19612514458	3.65312	41682265
kSelectLastSimilar	18433006337	3.43341	38898851
