Strategy	WB	WA	Duration
kRoundRobin	17003362206	3.16712	80308386
kMinOverlappingRatio	17002311209	3.16693	78881708
kOldestLargestSeqFirst	18345568528	3.41713	128935081
kOldestSmallestSeqFirst	18274528079	3.4039	133529973
kSelectLastSimilar	17215350887	3.20661	122161046
kRoundRobin	16893758499	3.14671	113742261
kMinOverlappingRatio	17147721124	3.19401	93150493
kOldestLargestSeqFirst	18592876561	3.46319	125838181
kOldestSmallestSeqFirst	18029630930	3.35828	143290569
kSelectLastSimilar	17577689891	3.2741	170985656
